COMID,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAINAG,S1_93_11,S30_2040D
23479891,2577.59,25.84,0.15936,768.08730,1.780,6.82000,7.98000
23483403,2401.30,7.64,0.30157,1139.06100,0.995,5.94000,7.08000
23483409,2696.84,57.04,0.18585,1209.39100,2.280,5.16000,6.28000
23483411,2444.13,32.90,0.19663,1162.91000,1.977,7.68000,8.87000
23483415,2650.22,9.96,0.15255,1429.58000,1.607,6.15000,7.30000
23483417,2311.15,27.54,0.39093,1005.88200,0.959,5.73000,6.86000
23483421,2825.47,34.95,0.13518,1181.80800,7.125,5.28000,6.40000
23483421,2659.85,60.93,0.13518,1181.80800,7.125,5.70000,6.83000
23483421,2561.07,64.36,0.13518,1181.80800,7.125,6.03000,7.17000
23483423,2650.72,4.50,0.09804,1197.32000,8.903,6.14000,7.28000
23483423,2518.92,21.07,0.09804,1197.32000,8.903,6.59000,7.75000
23483423,2438.29,41.50,0.09804,1197.32000,8.903,6.79000,7.95000
23483423,2402.60,44.90,0.09804,1197.32000,8.903,6.91000,8.07000
23483423,2330.87,48.71,0.09804,1197.32000,8.903,7.16000,8.33000
23483425,2852.00,7.76,0.22649,1141.27300,6.321,4.83000,5.94000
23483425,2571.82,10.19,0.22649,1141.27300,6.321,5.85000,6.99000
23483425,2375.86,59.57,0.22649,1141.27300,6.321,6.18000,7.33000
23483427,2893.99,3.88,0.19976,1363.05000,1.511,4.49000,5.59000
23483429,2689.64,35.15,0.12465,1104.08900,5.516,5.20000,6.32000
23483429,2567.43,63.85,0.12465,1104.08900,5.516,5.39000,6.51000
23483429,2463.81,51.95,0.12465,1104.08900,5.516,5.81000,6.95000
23483429,2359.39,76.84,0.12465,1104.08900,5.516,6.00000,7.14000
23479225,2086.74,21.14,0.00457,667.68400,114.095,14.28000,15.65000
23479227,2138.48,52.78,0.00664,717.84470,96.275,15.82000,17.23000
23479227,2137.62,61.11,0.00664,717.84470,96.275,15.58000,16.98000
23479227,2140.53,67.17,0.00664,717.84470,96.275,15.47000,16.87000
23479227,2134.36,59.10,0.00664,717.84470,96.275,15.52000,16.92000
23479227,2122.79,58.23,0.00664,717.84470,96.275,15.63000,17.03000
23479227,2109.90,45.27,0.00664,717.84470,96.275,15.87000,17.28000
23479227,2098.63,48.84,0.00664,717.84470,96.275,15.67000,17.07000
23479241,2144.61,41.30,0.00349,1197.75200,64.277,9.85000,11.09000
23479241,2140.96,40.84,0.00349,1197.75200,64.277,9.98000,11.23000
23479241,2140.81,56.78,0.00349,1197.75200,64.277,9.97000,11.22000
23479247,2159.43,63.50,0.01132,1205.88500,24.089,9.00000,10.23000
23479249,2170.29,69.36,0.00797,1276.44500,23.528,8.74000,9.95000
23479251,2196.76,65.03,0.02234,1345.45000,23.250,8.37000,9.58000
23479253,2353.54,33.33,0.03989,1351.37900,9.357,7.76000,8.95000
23479253,2304.42,12.19,0.03989,1351.37900,9.357,8.13000,9.33000
23479253,2288.55,28.90,0.03989,1351.37900,9.357,8.09000,9.29000
23479253,2251.59,67.31,0.03989,1351.37900,9.357,7.99000,9.18000
23479255,2495.87,12.88,0.19742,1363.58900,1.381,6.16000,7.31000
23479261,2087.79,17.26,0.00560,578.81560,238.963,10.75000,12.02000
23479263,2102.21,0.00,0.00566,583.36000,238.852,12.23000,13.54000
23479263,2095.18,8.45,0.00566,583.36000,238.852,11.60000,12.89000
23479265,2122.76,0.00,0.00924,583.36000,237.608,11.67000,12.96000
23479265,2116.44,1.90,0.00924,583.36000,237.608,11.63000,12.93000
23479265,2104.82,0.00,0.00924,583.36000,237.608,11.86000,13.16000
23479269,2133.04,0.00,0.01152,875.89460,235.590,11.35000,12.63000
23479271,2140.87,2.12,0.00716,790.84160,230.771,11.51000,12.80000
23479273,2153.25,30.64,0.00767,749.47330,227.913,11.25000,12.53000
23479273,2147.32,37.95,0.00767,749.47330,227.913,11.30000,12.58000
23479279,2167.24,15.24,0.00965,747.19430,124.596,11.19000,12.47000
23479281,2225.44,34.39,0.00810,824.91220,45.806,12.29000,13.60000
23479281,2213.53,42.89,0.00810,824.91220,45.806,12.62000,13.94000
23479281,2207.45,45.40,0.00810,824.91220,45.806,13.01000,14.34000
23479281,2206.15,47.45,0.00810,824.91220,45.806,13.13000,14.47000
23479281,2192.14,32.72,0.00810,824.91220,45.806,13.27000,14.61000
23479281,2178.09,0.00,0.00810,824.91220,45.806,13.04000,14.37000
23479283,2226.70,4.74,0.00431,896.26920,36.780,12.15000,13.46000
23479285,2241.59,6.90,0.00649,1010.23600,31.345,11.39000,12.68000
23479285,2237.29,13.26,0.00649,1010.23600,31.345,11.49000,12.78000
23479287,2261.56,32.98,0.00939,1015.99200,23.603,10.81000,12.08000
23479287,2251.30,23.46,0.00939,1015.99200,23.603,11.00000,12.28000
23479289,2282.87,67.56,0.02179,1019.68900,10.793,9.98000,11.23000
23479293,2470.46,67.20,0.12123,1040.36500,3.544,7.89000,9.08000
23479293,2387.59,62.89,0.12123,1040.36500,3.544,8.32000,9.52000
23479295,2205.32,2.77,0.01049,757.34910,77.392,11.36000,12.64000
23479295,2195.09,0.00,0.01049,757.34910,77.392,11.50000,12.79000
23479295,2186.33,0.00,0.01049,757.34910,77.392,11.46000,12.75000
23479303,2259.63,6.84,0.01356,833.40230,37.315,9.87000,11.11000
23479305,2269.06,27.11,0.00996,829.72950,32.905,9.52000,10.76000
23479309,2284.93,8.16,0.00775,848.27250,26.630,9.53000,10.76000
23479311,2300.14,15.53,0.01043,865.71000,18.322,9.28000,10.51000
23479315,2322.45,22.64,0.02774,865.71000,12.051,8.97000,10.20000
23479319,2529.58,42.49,0.10194,984.29000,3.360,7.26000,8.43000
23479319,2430.33,52.92,0.10194,984.29000,3.360,7.58000,8.77000
23479665,2239.25,36.65,0.01320,929.12240,77.610,8.13000,9.33000
23479671,2293.55,72.14,0.02424,1184.00500,61.451,7.07000,8.24000
23479679,2413.16,63.48,0.03268,1119.56100,12.792,6.11000,7.25000
23479681,2452.64,61.13,0.04073,1105.44200,9.178,6.05000,7.19000
23479683,2575.38,54.10,0.06808,1143.18600,6.158,5.53000,6.66000
23479683,2502.77,56.12,0.06808,1143.18600,6.158,5.74000,6.87000
23479685,2658.56,49.23,0.06609,1162.79800,1.618,5.26000,6.38000
23479693,2022.45,15.14,0.01305,759.94820,190.976,11.73000,13.02000
23479697,2045.58,10.67,0.01209,751.84000,119.842,12.19000,13.50000
23479715,2147.13,35.45,0.01642,1000.13600,80.726,9.91000,11.16000
23479717,2164.88,29.55,0.01651,1004.32700,76.610,9.78000,11.03000
23479723,2271.97,71.36,0.06879,1177.29300,24.008,8.00000,9.19000
23479725,2388.48,66.97,0.05314,1185.26700,19.374,7.47000,8.66000
23479725,2330.91,76.33,0.05314,1185.26700,19.374,7.69000,8.87000
23479727,2435.06,54.28,0.05387,1170.52600,14.229,7.33000,8.51000
23479731,2637.93,59.35,0.09626,1146.70000,4.703,6.02000,7.16000
23479731,2540.57,70.08,0.09626,1146.70000,4.703,6.35000,7.50000
23479735,2727.32,42.31,0.12759,1146.70000,1.927,5.53000,6.66000
23479791,2809.98,9.24,0.19375,1269.57600,1.516,4.97000,6.08000
23479871,2439.49,51.12,0.04196,832.30770,31.396,7.57000,8.76000
23479871,2409.22,63.59,0.04196,832.30770,31.396,7.58000,8.76000
23479871,2376.13,61.05,0.04196,832.30770,31.396,7.71000,8.90000
23479871,2337.70,72.32,0.04196,832.30770,31.396,7.78000,8.97000
23480189,2670.79,42.82,0.09043,1226.77900,3.957,5.02000,6.14000
23480193,2165.51,3.38,0.01451,782.62850,39.502,11.15000,12.43000
23480197,2235.14,70.55,0.01205,941.34870,27.734,9.88000,11.12000
23480197,2228.41,63.05,0.01205,941.34870,27.734,10.31000,11.57000
23480197,2218.29,65.38,0.01205,941.34870,27.734,10.64000,11.90000
23480197,2198.21,60.36,0.01205,941.34870,27.734,11.00000,12.28000
23480203,2243.26,65.11,0.01071,943.84300,22.618,9.51000,10.75000
23480207,2307.92,30.43,0.01854,1198.23900,21.438,8.68000,9.89000
23480207,2282.40,42.59,0.01854,1198.23900,21.438,8.41000,9.62000
23480207,2264.38,34.00,0.01854,1198.23900,21.438,8.47000,9.67000
23480207,2259.57,52.35,0.01854,1198.23900,21.438,8.79000,10.00000
23480209,2355.71,63.47,0.04861,1249.63000,8.678,8.05000,9.24000
23480211,2481.08,64.52,0.10375,1273.19600,4.701,6.97000,8.14000
23480213,2312.38,24.33,0.01530,841.43130,18.034,9.90000,11.14000
23480213,2299.20,19.36,0.01530,841.43130,18.034,10.11000,11.36000
23480213,2288.78,48.93,0.01530,841.43130,18.034,10.08000,11.33000
23480213,2279.40,53.78,0.01530,841.43130,18.034,10.11000,11.36000
23480213,2264.02,55.00,0.01530,841.43130,18.034,10.31000,11.57000
23480213,2234.47,52.83,0.01530,841.43130,18.034,10.60000,11.86000
23480219,2378.26,36.10,0.02944,930.64750,8.967,8.97000,10.19000
23480219,2361.54,22.75,0.02944,930.64750,8.967,9.23000,10.46000
23480221,2531.06,37.71,0.09691,1026.33400,2.346,7.61000,8.80000
23480221,2441.18,61.47,0.09691,1026.33400,2.346,7.81000,9.00000
23480235,2211.68,0.78,0.01013,759.10490,52.247,9.57000,10.81000
23480235,2201.48,2.49,0.01013,759.10490,52.247,10.66000,11.93000
23480235,2194.74,1.02,0.01013,759.10490,52.247,11.48000,12.77000
23480303,2240.90,57.30,0.02880,1319.09600,25.149,9.57000,10.80000
23480303,2197.77,64.27,0.02880,1319.09600,25.149,9.71000,10.95000
23480303,2164.28,77.15,0.02880,1319.09600,25.149,9.80000,11.05000
23480305,2266.25,53.89,0.03624,1418.03500,17.532,9.80000,11.05000
23480309,2410.06,30.67,0.16024,1429.58000,5.430,9.04000,10.26000
23480315,2651.14,7.98,0.12238,1419.28100,1.743,8.15000,9.35000
23483121,2454.74,87.67,0.13044,722.22620,1.967,6.83000,7.99000
23483209,2329.05,48.38,0.24614,841.08060,1.572,6.48000,7.63000
23483211,2067.85,0.65,0.26343,751.84000,0.364,9.35000,10.58000
23483213,2111.84,50.13,0.02492,644.62960,31.886,17.35000,18.80000
23483219,2297.72,68.44,0.14447,1155.77200,4.121,6.45000,7.60000
23483221,2384.46,1.64,0.24308,752.00140,0.496,7.74000,8.93000
23483223,2338.58,65.73,0.28998,843.19200,0.757,5.97000,7.11000
23483233,2403.61,2.52,0.36562,761.36610,0.410,6.72000,7.88000
23483235,2372.96,58.68,0.08873,1154.83000,17.860,6.86000,8.02000
23483241,2752.21,36.17,0.18555,880.92430,1.085,5.58000,6.71000
23483243,2530.72,62.57,0.11485,908.10230,2.585,7.05000,8.22000
23483243,2399.47,56.75,0.11485,908.10230,2.585,7.67000,8.85000
23483245,2356.19,21.56,0.02656,910.95070,20.760,8.85000,10.06000
23483247,2758.54,30.88,0.11662,856.30520,4.043,6.13000,7.28000
23483247,2618.99,44.19,0.11662,856.30520,4.043,6.56000,7.72000
23483247,2536.33,58.09,0.11662,856.30520,4.043,6.78000,7.94000
23483251,2755.85,3.84,0.10895,880.85750,5.752,6.27000,7.42000
23483251,2644.92,19.28,0.10895,880.85750,5.752,6.56000,7.71000
23483267,2489.89,56.13,0.31670,840.75000,1.369,5.35000,6.47000
23483269,2102.76,0.00,0.00830,583.52700,2.824,11.22000,12.50000
23483269,2095.57,0.00,0.00830,583.52700,2.824,10.86000,12.13000
23483271,2586.15,47.49,0.16353,1220.33500,1.664,4.83000,5.94000
23483273,2725.65,24.40,0.15353,922.04050,2.929,5.97000,7.11000
23483273,2563.55,67.19,0.15353,922.04050,2.929,6.27000,7.42000
23483279,2407.87,18.73,0.03206,916.04000,15.748,8.54000,9.75000
23483281,2584.98,71.20,0.14925,917.73480,2.603,6.45000,7.60000
23483281,2451.83,39.88,0.14925,917.73480,2.603,7.21000,8.38000
23483285,2452.94,55.60,0.19647,802.16660,3.104,6.91000,8.08000
23483285,2245.96,33.87,0.19647,802.16660,3.104,7.85000,9.04000
23483287,2131.15,25.77,0.02218,821.23910,7.311,11.13000,12.42000
23483287,2104.77,17.35,0.02218,821.23910,7.311,11.50000,12.79000
23483287,2096.80,0.00,0.02218,821.23910,7.311,11.79000,13.09000
23483291,2444.95,30.06,0.05476,922.01950,9.769,8.06000,9.26000
23483293,2213.48,44.52,0.12719,1056.68000,1.494,8.73000,9.94000
23483293,2134.53,78.26,0.12719,1056.68000,1.494,8.75000,9.97000
23483295,2311.75,4.38,0.27680,821.63060,1.633,7.48000,8.66000
23483295,2090.35,0.00,0.27680,821.63060,1.633,8.56000,9.77000
23483297,2547.76,31.81,0.13114,1168.59400,8.061,5.99000,7.13000
23483297,2414.01,81.49,0.13114,1168.59400,8.061,6.11000,7.25000
23483297,2254.80,60.04,0.13114,1168.59400,8.061,6.82000,7.98000
23483301,2546.29,45.17,0.10555,814.03640,5.585,7.14000,8.31000
23483301,2454.21,55.32,0.10555,814.03640,5.585,7.44000,8.62000
23483301,2363.14,75.71,0.10555,814.03640,5.585,7.67000,8.86000
23483305,2220.85,62.82,0.17883,946.84470,1.449,8.92000,10.14000
23483309,2228.66,49.77,0.04794,1057.36700,21.579,10.17000,11.42000
23483309,2154.31,77.58,0.04794,1057.36700,21.579,10.23000,11.48000
23483309,2134.42,92.33,0.04794,1057.36700,21.579,10.04000,11.29000
23483313,2714.08,44.52,0.18725,893.88010,2.462,5.45000,6.58000
23483313,2543.01,50.25,0.18725,893.88010,2.462,6.05000,7.19000
23483319,2096.10,63.41,0.28733,873.38880,1.926,7.94000,9.14000
23483323,2402.66,17.16,0.21811,863.18500,2.303,7.27000,8.44000
23483323,2138.06,16.83,0.21811,863.18500,2.303,8.37000,9.58000
23483331,2761.93,20.64,0.15547,973.55880,8.478,6.04000,7.18000
23483331,2618.67,68.27,0.15547,973.55880,8.478,6.24000,7.39000
23483331,2448.41,74.28,0.15547,973.55880,8.478,6.86000,8.02000
23483331,2271.74,61.20,0.15547,973.55880,8.478,7.61000,8.80000
23483335,2724.98,40.81,0.11960,938.84930,4.189,6.30000,7.45000
23483335,2563.73,57.17,0.11960,938.84930,4.189,6.81000,7.98000
23483337,2311.97,4.92,0.31207,879.05600,0.837,6.89000,8.05000
23483349,2633.14,45.74,0.12627,1184.39800,4.310,5.60000,6.73000
23483359,2629.43,42.06,0.12254,927.29280,2.836,6.64000,7.80000
23483359,2541.65,48.67,0.12254,927.29280,2.836,6.95000,8.12000
23483361,2455.22,55.22,0.27733,967.28330,2.291,5.91000,7.05000
23483363,2373.65,45.68,0.26841,1003.11000,1.367,6.07000,7.21000
23483365,2578.01,31.34,0.32119,1154.66000,0.604,4.16000,5.26000
23483367,2712.33,32.19,0.22696,903.10420,2.821,5.62000,6.75000
23483367,2424.41,43.93,0.22696,903.10420,2.821,6.70000,7.86000
23483367,2151.75,38.65,0.22696,903.10420,2.821,7.80000,8.99000
23483369,2780.33,10.86,0.09954,1184.33400,1.828,5.53000,6.66000
23483371,2729.71,48.53,0.18963,1049.40000,0.933,5.28000,6.40000
23483373,2460.63,8.20,0.12340,1170.88300,8.075,13.42000,14.76000
23483373,2566.26,8.22,0.12340,1170.88300,8.075,12.95000,14.29000
23483373,2619.13,34.74,0.12340,1170.88300,8.075,12.52000,13.83000
23483375,2841.55,24.06,0.19813,930.12540,5.546,5.63000,6.76000
23483375,2683.26,72.88,0.19813,930.12540,5.546,5.91000,7.05000
23483375,2503.04,85.59,0.19813,930.12540,5.546,6.55000,7.71000
23483375,2279.00,77.40,0.19813,930.12540,5.546,7.49000,8.67000
23483377,2400.83,57.57,0.33400,991.51430,1.206,5.86000,7.00000
23483381,2755.09,21.03,0.09769,1183.11900,7.870,5.43000,6.56000
23483381,2628.09,7.21,0.09769,1183.11900,7.870,6.00000,7.14000
23483381,2553.26,34.67,0.09769,1183.11900,7.870,6.03000,7.17000
23483381,2462.06,62.61,0.09769,1183.11900,7.870,6.10000,7.25000
23483381,2356.04,71.59,0.09769,1183.11900,7.870,6.39000,7.55000
23483383,2389.44,48.11,0.11189,1016.71600,12.024,7.18000,8.36000
23483383,2266.47,66.74,0.11189,1016.71600,12.024,7.48000,8.66000
23483391,2749.21,11.93,0.26381,1057.83300,2.367,5.03000,6.15000
23483391,2439.25,41.95,0.26381,1057.83300,2.367,6.07000,7.21000
23483391,2168.87,22.48,0.26381,1057.83300,2.367,7.26000,8.43000
23483399,2696.73,48.12,0.05639,1082.47700,8.606,5.79000,6.92000
23483399,2584.51,40.10,0.05639,1082.47700,8.606,6.20000,7.35000
23483399,2544.07,23.25,0.05639,1082.47700,8.606,6.42000,7.57000
23483399,2496.74,25.17,0.05639,1082.47700,8.606,6.51000,7.67000
23483399,2441.94,61.58,0.05639,1082.47700,8.606,6.38000,7.54000
23483399,2401.93,70.92,0.05639,1082.47700,8.606,6.40000,7.55000
23483433,2572.66,11.70,0.19829,1045.68000,2.615,5.42000,6.54000
23483433,2396.43,56.31,0.19829,1045.68000,2.615,5.67000,6.80000
23483435,2388.14,43.28,0.32183,1165.79500,1.565,5.58000,6.71000
23483437,2646.14,19.02,0.08618,1429.58000,2.456,9.43000,10.67000
23483439,2424.34,58.42,0.10254,1162.91000,4.075,8.06000,9.26000
23483451,2462.29,56.07,0.11361,1044.21200,2.175,6.51000,7.66000
23483451,2412.89,46.07,0.11361,1044.21200,2.175,6.72000,7.88000
23483453,2250.59,65.53,0.10038,776.89880,6.734,7.75000,8.94000
23483455,2726.29,44.48,0.23728,1229.26900,2.228,5.45000,6.58000
23483455,2375.15,64.10,0.23728,1229.26900,2.228,6.63000,7.79000
23483457,2412.89,50.50,0.08061,1300.13100,7.534,6.95000,8.12000
23483463,2681.42,20.12,0.28407,1262.07000,0.817,4.73000,5.83000
23483469,2455.98,67.15,0.12491,839.59940,3.730,6.85000,8.01000
23483471,2739.22,49.34,0.14874,1100.11700,2.022,5.38000,6.51000
23483473,2715.58,34.57,0.16605,1105.48600,4.160,5.56000,6.69000
23483473,2606.76,69.20,0.16605,1105.48600,4.160,5.68000,6.81000
23483475,2955.14,0.00,0.24037,1262.07000,0.041,4.19000,5.28000
23483479,2688.83,13.27,0.20950,1269.58200,4.487,5.30000,6.42000
23483479,2508.56,37.09,0.20950,1269.58200,4.487,5.79000,6.93000
23483481,2365.38,57.13,0.22420,772.75000,0.801,6.49000,7.64000
23483483,2698.14,37.75,0.30928,1225.34300,2.554,4.49000,5.59000
23483483,2353.28,56.74,0.30928,1225.34300,2.554,5.62000,6.75000
23483485,2316.54,59.60,0.11379,1396.49600,5.798,7.88000,9.07000
23483487,2310.60,64.00,0.04237,938.17770,3.010,10.56000,11.83000
23483487,2254.41,31.84,0.04237,938.17770,3.010,11.30000,12.59000
23483487,2218.04,0.00,0.04237,938.17770,3.010,11.91000,13.21000
23483487,2187.19,1.48,0.04237,938.17770,3.010,12.19000,13.50000
23483489,2898.00,2.13,0.20692,1294.04000,4.120,4.57000,5.67000
23483489,2667.95,25.95,0.20692,1294.04000,4.120,5.28000,6.41000
23483489,2484.02,19.40,0.20692,1294.04000,4.120,6.04000,7.18000
23483493,2542.34,21.80,0.08470,1380.41200,2.534,7.23000,8.40000
23483493,2455.48,51.63,0.08470,1380.41200,2.534,7.38000,8.56000
23483495,2482.02,49.88,0.13593,1348.72500,1.849,6.67000,7.82000
23483495,2331.12,73.32,0.13593,1348.72500,1.849,7.11000,8.28000
23483499,2458.15,51.27,0.06694,1355.87600,2.518,8.26000,9.47000
23483501,2366.88,72.39,0.17700,1138.48800,1.566,7.71000,8.90000
23483501,2150.90,88.14,0.17700,1138.48800,1.566,8.52000,9.73000
23483503,2659.78,7.62,0.20812,1294.84000,3.591,5.44000,6.57000
23483503,2490.67,65.32,0.20812,1294.84000,3.591,5.67000,6.80000
23483509,2814.87,32.33,0.18409,1254.01400,6.611,5.35000,6.47000
23483509,2687.37,51.07,0.18409,1254.01400,6.611,5.68000,6.81000
23483509,2502.30,69.19,0.18409,1254.01400,6.611,6.22000,7.37000
23483511,2434.49,44.52,0.24304,1203.30000,1.898,6.65000,7.81000
23483511,2152.34,69.48,0.24304,1203.30000,1.898,7.57000,8.75000
23483513,2651.32,29.08,0.31405,1290.34500,1.151,4.52000,5.62000
23483519,2289.50,50.02,0.19215,1049.51000,1.070,8.98000,10.20000
23483521,2548.84,12.16,0.21816,1274.55200,2.258,6.36000,7.51000
23483523,2617.33,44.00,0.15222,1050.55200,1.556,7.87000,9.06000
23483527,2754.44,32.86,0.25051,1248.10000,1.648,4.71000,5.81000
23483531,2974.05,2.75,0.23157,1248.10000,1.591,4.22000,5.32000
23483531,2833.29,46.70,0.23157,1248.10000,1.591,4.43000,5.53000
23483535,2916.55,6.44,0.16365,1248.10000,1.086,4.93000,6.05000
23483537,2516.75,66.18,0.12935,1050.64700,3.951,8.19000,9.39000
23483537,2368.22,61.92,0.12935,1050.64700,3.951,8.96000,10.18000
23483537,2231.40,33.27,0.12935,1050.64700,3.951,9.72000,10.97000
23483541,2960.75,1.49,0.14412,1301.29200,7.054,5.07000,6.19000
23483541,2734.80,19.76,0.14412,1301.29200,7.054,5.79000,6.92000
23483541,2644.26,31.33,0.14412,1301.29200,7.054,6.04000,7.18000
23483541,2504.70,66.39,0.14412,1301.29200,7.054,6.29000,7.44000
23483545,2464.66,59.58,0.16119,850.49460,1.080,7.78000,8.97000
23483547,2823.03,7.55,0.22055,1248.10000,1.362,4.86000,5.97000
23483549,2553.48,15.55,0.22993,1284.29300,1.423,6.24000,7.39000
23483551,2704.75,28.34,0.16063,1062.76600,3.793,7.23000,8.40000
23483551,2494.19,67.79,0.16063,1062.76600,3.793,7.85000,9.04000
23483551,2315.22,34.98,0.16063,1062.76600,3.793,8.80000,10.02000
23483555,2534.15,32.51,0.17975,1344.23000,2.397,6.19000,7.34000
23483555,2389.36,12.83,0.17975,1344.23000,2.397,6.87000,8.03000
23483557,2682.52,16.52,0.16910,871.93000,1.638,6.60000,7.76000
23483557,2531.66,72.10,0.16910,871.93000,1.638,6.85000,8.01000
23483559,2667.05,11.07,0.21000,871.75990,1.086,6.42000,7.57000
23483561,2506.50,43.49,0.17460,865.71000,2.338,7.40000,8.58000
23483567,2377.14,74.06,0.18987,1028.19100,0.760,7.68000,8.86000
23483569,2660.50,12.76,0.13974,878.84390,3.575,6.82000,7.99000
23483569,2492.97,43.39,0.13974,878.84390,3.575,7.31000,8.49000
23483571,2431.18,60.61,0.14571,1015.67000,1.969,8.00000,9.20000
23483573,2474.16,32.40,0.16021,932.58200,1.562,7.32000,8.50000
23483575,2616.34,40.92,0.16711,905.39750,2.469,6.58000,7.74000
23483575,2438.06,71.25,0.16711,905.39750,2.469,7.11000,8.28000
23483577,2513.19,25.09,0.20415,1009.96800,1.605,7.00000,8.17000
23483579,2511.49,19.84,0.13330,1107.49900,3.312,7.86000,9.05000
23483579,2400.94,61.45,0.13330,1107.49900,3.312,8.05000,9.25000
23483881,2537.10,54.61,0.10621,952.13010,1.859,5.86000,7.00000
23483881,2392.63,32.54,0.10621,952.13010,1.859,6.37000,7.52000
23483883,2596.21,35.40,0.06342,1087.81600,6.920,6.07000,7.22000
23483883,2543.14,39.44,0.06342,1087.81600,6.920,6.17000,7.32000
23483883,2477.47,60.08,0.06342,1087.81600,6.920,6.14000,7.29000
23483883,2413.22,48.31,0.06342,1087.81600,6.920,6.30000,7.45000
23483885,2515.60,74.05,0.08321,1191.33000,4.412,5.98000,7.12000
23483885,2440.34,40.42,0.08321,1191.33000,4.412,6.39000,7.54000
23483887,2588.41,46.34,0.21979,802.05000,1.607,5.94000,7.08000
23483891,2542.95,18.66,0.09244,866.16820,7.078,7.06000,8.23000
23483891,2459.00,47.96,0.09244,866.16820,7.078,7.12000,8.29000
23483897,2514.49,79.87,0.11604,794.56820,2.876,6.85000,8.01000
23483897,2407.78,76.27,0.11604,794.56820,2.876,7.26000,8.44000
23483903,2611.42,28.38,0.18815,762.69640,0.835,6.51000,7.67000
23483935,2456.87,56.14,0.07094,825.45620,4.037,7.86000,9.05000
23483935,2344.96,59.43,0.07094,825.45620,4.037,8.51000,9.72000
23483935,2276.52,0.00,0.07094,825.45620,4.037,9.50000,10.73000
23483935,2251.61,0.00,0.07094,825.45620,4.037,9.89000,11.14000
23483937,2328.73,25.39,0.04718,1344.71200,10.248,7.98000,9.18000
23483937,2286.34,21.59,0.04718,1344.71200,10.248,8.18000,9.38000
23483937,2238.97,63.37,0.04718,1344.71200,10.248,8.04000,9.24000
23483939,2397.65,42.03,0.10443,1242.43000,6.503,7.59000,8.78000
23483939,2292.13,34.89,0.10443,1242.43000,6.503,8.07000,9.27000
23483939,2167.41,70.60,0.10443,1242.43000,6.503,8.34000,9.54000
23483941,2491.20,48.02,0.06880,974.72370,6.862,9.26000,10.49000
23483941,2405.58,65.29,0.06880,974.72370,6.862,9.76000,11.00000
23483941,2338.95,83.74,0.06880,974.72370,6.862,10.16000,11.42000
23483941,2235.87,24.43,0.06880,974.72370,6.862,11.29000,12.57000
23483941,2207.83,26.15,0.06880,974.72370,6.862,11.59000,12.88000
23483945,2310.53,65.31,0.11009,837.09650,2.646,9.39000,10.63000
23483945,2232.92,18.95,0.11009,837.09650,2.646,10.32000,11.58000
23483947,2937.21,3.53,0.29097,1252.20700,1.239,3.87000,4.95000
23483947,2577.78,30.90,0.29097,1252.20700,1.239,5.02000,6.14000
23483949,2833.23,17.21,0.26603,1248.10000,1.867,4.39000,5.48000
23483949,2527.02,54.13,0.26603,1248.10000,1.867,5.27000,6.39000
23483951,2504.15,62.13,0.10604,825.26000,2.926,7.53000,8.71000
